ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
169817,2019,,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,176500,3.25,0.3997,4100,180,not_neg,not_int,not_lpsm,218000,sb,pr,home,1U,3600,CRIF,579,CIB,65-74,to_inst,80.96330275,south,direct,0,47
55084,2019,,Male,nopre,type1,p3,l1,nopc,nob/c,186500,3.625,0.4509,1067.2,180,not_neg,not_int,not_lpsm,478000,sb,pr,home,1U,3180,CIB,721,CIB,25-34,to_inst,39.0167364,south,direct,0,49
168883,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,346500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7500,EQUI,702,EXP,25-34,to_inst,,North,direct,1,
169509,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,446500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7680,EQUI,525,EXP,35-44,not_inst,,North,direct,1,
41829,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,316500,4.5,0.1679,1150,360,neg_amm,not_int,not_lpsm,378000,sb,pr,home,1U,7800,CIB,557,CIB,55-64,to_inst,83.73015873,North,direct,0,40
90384,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,256500,4.375,0.005,1495,360,not_neg,not_int,not_lpsm,438000,sb,pr,home,1U,8160,CRIF,899,CIB,65-74,not_inst,58.56164384,south,direct,0,26
67227,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,136500,4.75,0.4021,375.2,360,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,3180,CIB,616,CIB,<25,not_inst,37.0923913,south,direct,0,45
30443,2019,cf,Sex Not Available,nopre,type1,p3,l2,nopc,nob/c,96500,,,,300,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,1020,EQUI,613,EXP,55-64,to_inst,,south,direct,1,
52136,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,376500,4.25,0.2916,0,360,not_neg,not_int,not_lpsm,398000,sb,pr,home,1U,4980,CIB,647,CIB,35-44,not_inst,94.59798995,North,direct,0,47
131441,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,336500,,,,360,not_neg,not_int,not_lpsm,458000,sb,pr,home,1U,5400,EXP,500,EXP,45-54,not_inst,73.47161572,North,direct,1,60
69540,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,256500,,,,360,not_neg,not_int,lpsm,448000,sb,pr,home,1U,3300,EXP,665,EXP,45-54,to_inst,57.25446429,south,direct,1,37
151113,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,296500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,810,EXP,>74,to_inst,,North,direct,1,
